pemmdb_carrier,pemmdb_type,pemmdb_hydro_inflows,pecd_carrier,investment_dataset_carrier,tyndp_output_carrier,tyndp_report_carrier,tyndp_vp_carrier,open_tyndp_carrier,open_tyndp_index,open_tyndp_nice_name,benchmarking_capacity,benchmarking_generation,benchmarking_generation_profiles,benchmarking_fed,benchmarking_elec_demand,benchmarking_ch4_demand,benchmarking_h2_demand,benchmarking_ch4_supply,benchmarking_h2_supply,benchmarking_biomass_supply,benchmarking_energy_imports,open_tyndp_type,pypsa_eur_carrier,comment
Lignite,new,,,,Lignite new,Coal + Other fossil,Lignite,lignite,lignite-new,Lignite,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,lignite,lignite,
Lignite,CCS,,,,Lignite CCS,Coal + Other fossil,Lignite,lignite,lignite-ccs,Lignite (CCS),coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,lignite-ccs,,
Light oil,Light oil,,,,Light oil,Oil,Light oil,oil-light,oil-light,Oil (Light),oil (incl. biofuels),oil (incl. biofuels),coal&lignite&oil,,,,,,,,,oil-light,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Heavy oil,old 1,,,,Heavy oil old 1,Oil,Heavy oil,oil-heavy,oil-heavy-old1,Oil (Heavy),oil (incl. biofuels),oil (incl. biofuels),coal&lignite&oil,,,,,,,,,oil-heavy,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Heavy oil,old 2,,,,Heavy oil old 2,Oil,Heavy oil,oil-heavy,oil-heavy-old2,Oil (Heavy),oil (incl. biofuels),oil (incl. biofuels),coal&lignite&oil,,,,,,,,,oil-heavy,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Oil shale,old,,,,Oil shale old,Oil,Oil shale,oil-shale,oil-shale-old,Oil (Shale),oil (incl. biofuels),oil (incl. biofuels),coal&lignite&oil,,,,,,,,,oil-shale,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Oil shale,new,,,,Oil shale new,Oil,Oil shale,oil-shale,oil-shale-new,Oil (Shale),oil (incl. biofuels),oil (incl. biofuels),coal&lignite&oil,,,,,,,,,oil-shale,oil,"PyPSA-Eur does not explicitly differentiate light, heavy and shale oil"
Other Non-RES Gas,conventional old 1,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-conv-old1,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,other-non-res-gas-conv,OCGT,Methane demand
Other Non-RES Gas,conventional old 2,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-conv-old2,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,other-non-res-gas-conv,OCGT,Methane demand
Other Non-RES Gas,ccgt old 1,,,,Others non-renewable,CHP and Small Thermal,Others non-RES,gas,other-non-res-gas-ccgt-old1,Other Non-Renewables,other non-res,other non-res,other non-res,,,power generation,,,,,,other-non-res-gas-ccgt,CCGT,Methane demand
